Objective,Feasibility,Algorithm,Training Percentage,Data Size,Folds
-6.46147939,1,NGS,80,1100,0
-6.479286178,1,UNGS,80,1100,0
-6.514165905,1,NV,80,1100,0
-6.479286178,1,UG,80,1100,0
-6.349634763,1,Sectioning,90,1100,0
-6.401798029,1,NGS,90,1100,0
-6.408732051,1,UNGS,90,1100,0
-6.437095291,1,NV,90,1100,0
-6.408732051,1,UG,90,1100,0
-7.139383719,0.55,Sectioning,10,1200,0
-7.152550188,0.55,NGS,10,1200,0
-7.152550188,0.55,UNGS,10,1200,0
-7.160956608,0.55,NV,10,1200,0
-7.152550188,0.55,UG,10,1200,0
-6.804018963,0.97,Sectioning,20,1200,0
-6.835784953,0.95,NGS,20,1200,0
-6.83810019,0.95,UNGS,20,1200,0
-6.919610073,0.89,NV,20,1200,0
-6.841406502,0.95,UG,20,1200,0
-6.70989665,1,Sectioning,30,1200,0
-6.691138435,1,NGS,30,1200,0
-6.694299286,1,UNGS,30,1200,0
-6.793186244,0.97,NV,30,1200,0
-6.694299286,1,UG,30,1200,0
-6.594311847,1,Sectioning,40,1200,0
-6.635317213,1,NGS,40,1200,0
-6.641745463,1,UNGS,40,1200,0
-6.680930971,0.99,NV,40,1200,0
-6.654851529,1,UG,40,1200,0
-6.610000552,1,Sectioning,50,1200,0
-6.610087401,1,NGS,50,1200,0
-6.617403244,1,UNGS,50,1200,0
-6.645552611,1,NV,50,1200,0
-6.617403244,1,UG,50,1200,0
-6.51523526,1,Sectioning,60,1200,0
-6.555509207,1,NGS,60,1200,0
-6.557898705,1,UNGS,60,1200,0
-6.58306263,1,NV,60,1200,0
-6.557898705,1,UG,60,1200,0
-6.408423237,1,Sectioning,70,1200,0
-6.472851213,1,NGS,70,1200,0
-6.493661717,1,UNGS,70,1200,0
-6.511351687,1,NV,70,1200,0
-6.493661717,1,UG,70,1200,0
-6.372286428,1,Sectioning,80,1200,0
-6.435822082,1,NGS,80,1200,0
-6.465459352,1,UNGS,80,1200,0
-6.483729383,1,NV,80,1200,0
-6.475338158,1,UG,80,1200,0
-6.273298415,1,Sectioning,90,1200,0
-6.382374089,1,NGS,90,1200,0
-6.382374089,1,UNGS,90,1200,0
-6.415801834,1,NV,90,1200,0
-6.382374089,1,UG,90,1200,0
-7.119506995,0.59,Sectioning,10,1300,0
-7.116874132,0.56,NGS,10,1300,0
-7.116874132,0.56,UNGS,10,1300,0
-7.125812062,0.53,NV,10,1300,0
-7.116874132,0.56,UG,10,1300,0
-6.838899516,0.96,Sectioning,20,1300,0
-6.846789495,0.95,NGS,20,1300,0
-6.861131755,0.95,UNGS,20,1300,0
-6.932554385,0.92,NV,20,1300,0
-6.862554515,0.95,UG,20,1300,0
-6.661960809,1,Sectioning,30,1300,0
-6.725982659,0.99,NGS,30,1300,0
-6.735283964,0.99,UNGS,30,1300,0
-6.809460516,0.94,NV,30,1300,0
-6.735283964,0.99,UG,30,1300,0
-6.585483694,1,Sectioning,40,1300,0
-6.674451448,1,NGS,40,1300,0
-6.683519054,1,UNGS,40,1300,0
-6.738678349,1,NV,40,1300,0
-6.683519054,1,UG,40,1300,0
-6.576731984,1,Sectioning,50,1300,0
-6.610225741,1,NGS,50,1300,0
-6.612203119,1,UNGS,50,1300,0
-6.630309186,1,NV,50,1300,0
-6.617420645,1,UG,50,1300,0
-6.499684062,1,Sectioning,60,1300,0
-6.493630661,1,NGS,60,1300,0
-6.493630661,1,UNGS,60,1300,0
-6.493630661,1,NV,60,1300,0
-6.493630661,1,UG,60,1300,0
-6.387238215,1,Sectioning,70,1300,0
-6.476160022,1,NGS,70,1300,0
-6.476160022,1,UNGS,70,1300,0
-6.477141091,1,NV,70,1300,0
-6.476160022,1,UG,70,1300,0
-6.361445043,1,Sectioning,80,1300,0
-6.391910521,1,NGS,80,1300,0
-6.405352992,1,UNGS,80,1300,0
-6.409219986,1,NV,80,1300,0
-6.408679512,1,UG,80,1300,0
-6.239769593,1,Sectioning,90,1300,0
-6.349195142,1,NGS,90,1300,0
-6.349195142,1,UNGS,90,1300,0
-6.3972436,1,NV,90,1300,0
-6.349195142,1,UG,90,1300,0
-7.076342453,0.69,Sectioning,10,1400,0
-7.100810484,0.62,NGS,10,1400,0
-7.100810484,0.62,UNGS,10,1400,0
-7.116814186,0.59,NV,10,1400,0
-7.104484305,0.62,UG,10,1400,0
-6.765262973,0.94,Sectioning,20,1400,0
-6.814594786,0.95,NGS,20,1400,0
-6.819032975,0.95,UNGS,20,1400,0
-6.852918189,0.91,NV,20,1400,0
-6.824026823,0.95,UG,20,1400,0
-6.623545477,1,Sectioning,30,1400,0
-6.705297299,1,NGS,30,1400,0
-6.714129319,1,UNGS,30,1400,0
